player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
14019875,Ashish,2571204,Kondhana Warriors,4,4,0,0,0,0,0,4,4
1494410,Abhishek Upare,2571237,Crusaders,5,3,0,0,0,0,0,3,3
3604165,Aniruddha Kudal,2571207,Titans,3,0,0,0,0,0,1,1,1
10765292,Ashish Makwana,2571207,Titans,3,1,0,0,0,0,0,1,1
10745523,Kishor Wagh,2571207,Titans,3,1,0,0,0,0,0,1,1
10765294,Atharv M,2571206,Snipers,4,1,0,0,0,0,0,1,1
14298878,Abhishek Achari,2571204,Kondhana Warriors,4,1,0,0,0,0,0,1,1
10765212,Ramchandra Patil,2571204,Kondhana Warriors,4,1,0,0,0,0,0,1,1
1883604,Raman Toshniwal,2571204,Kondhana Warriors,4,0,0,1,0,0,0,0,1
4962614,Siva Kohler,2571206,Snipers,4,1,0,0,0,0,0,1,1
14298782,Manoj Wagh,2571237,Crusaders,5,1,0,0,0,0,0,1,1
14298575,Celebria Cricket Manoj Upadhyay,2571237,Crusaders,5,1,0,0,0,0,0,1,1
10814350,Arya K,2571237,Crusaders,5,1,0,0,0,0,0,1,1
10765325,Amit Kesharkar,2571237,Crusaders,5,1,0,0,0,0,0,1,1
14299007,Abhay Patil,2571207,Titans,3,0,0,0,0,0,0,0,0
14299002,Pritam Pashankar,2571207,Titans,3,0,0,0,0,0,0,0,0
10765220,Shree,2571207,Titans,3,0,0,0,0,0,0,0,0
10765262,Pratik Zagade,2571207,Titans,3,0,0,0,0,0,0,0,0
10765284,Chandrakant Vipat,2571207,Titans,3,0,0,0,0,0,0,0,0
10765317,Suhas Agawane,2571206,Snipers,4,0,0,0,0,0,0,0,0
14298870,Tanishq Paithankar,2571204,Kondhana Warriors,4,0,0,0,0,0,0,0,0
14298851,Vinay Satam,2571204,Kondhana Warriors,4,0,0,0,0,0,0,0,0
10814344,Dinesh,2571206,Snipers,4,0,0,0,0,0,0,0,0
10765311,Rohit Akhade,2571204,Kondhana Warriors,4,0,0,0,1,0,0,0,0
10765307,Sagar Shelar,2571206,Snipers,4,0,0,0,0,0,0,0,0
10765297,Jagdeep,2571206,Snipers,4,0,0,0,0,0,0,0,0
822917,Lavin Raheja,2571204,Kondhana Warriors,4,0,0,0,0,0,0,0,0
4963493,Prasad,2571206,Snipers,4,0,0,0,0,0,0,0,0
10619512,Tanishq Wagh,2571206,Snipers,4,0,0,0,0,0,0,0,0
10745512,Onkar,2571237,Crusaders,5,0,0,0,0,0,0,0,0
10765288,Dilip Achari,2571237,Crusaders,5,0,0,0,0,0,0,0,0
10765116,Aditya Agrawal,2571237,Crusaders,5,0,0,0,0,0,0,0,0
14298775,Non Striker,2571206,Snipers,8,0,0,0,0,0,0,0,0
