player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
7036836,Prashant Kshirsagar,3267288,Super Kings,6,3,0,1,1,0,0,3,4
16898071,Shripad,3267288,Super Kings,3,2,0,1,0,0,0,2,3
10765311,Rohit Akhade,3267285,Shouting Eagles,7,2,0,0,0,0,1,3,3
10814350,Arya K,3267285,Shouting Eagles,7,2,0,1,0,0,0,2,3
4867029,Kishore Soni,3267290,Swaggers,4,1,0,0,0,0,1,2,2
10765292,Ashish Makwana,3267290,Swaggers,4,2,0,0,0,0,0,2,2
822917,Lavin Raheja,3267293,Unicorns,5,1,0,1,0,0,0,1,2
10745512,Onkar,3267288,Super Kings,6,1,0,1,0,0,0,1,2
1494410,Abhishek Upare,3267285,Shouting Eagles,7,1,0,1,0,0,0,1,2
1883604,Raman Toshniwal,3267285,Shouting Eagles,7,2,0,0,0,0,0,2,2
14299007,Abhay Patil,3267285,Shouting Eagles,7,2,0,0,0,0,0,2,2
10765268,Akshay Upare,3267285,Shouting Eagles,7,2,0,0,0,0,0,2,2
14299002,Pritam Pashankar,3267290,Swaggers,4,1,0,0,0,0,0,1,1
10765307,Sagar Shelar,3267293,Unicorns,5,1,0,0,0,0,0,1,1
14298575,Manoj Upadhyay,3267293,Unicorns,5,1,0,0,0,0,0,1,1
10765116,Aditya Agrawal,3267293,Unicorns,5,1,0,0,0,0,0,1,1
14298878,Abhishek Achari,3267293,Unicorns,5,1,0,0,0,0,0,1,1
16890289,Nitin Dayma,3267293,Unicorns,5,1,0,0,0,0,0,1,1
14298851,Vinay Satam,3267282,Pirates,6,1,0,0,0,0,0,1,1
14019875,Ashish,3267282,Pirates,6,1,0,0,0,0,0,1,1
10765325,Amit Kesharkar,3267282,Pirates,6,1,0,0,0,0,0,1,1
16921882,Vatsal,3267288,Super Kings,6,1,0,0,0,0,0,1,1
10765297,Jagdeep,3267282,Pirates,6,0,0,1,0,0,0,0,1
10765294,Atharv M,3267288,Super Kings,6,1,0,0,0,0,0,1,1
10765220,Shree,3267282,Pirates,6,0,0,1,0,0,0,0,1
10619512,Tanishq Wagh,3267288,Super Kings,6,1,0,0,0,0,0,1,1
10765284,Chandrakant Vipat,3267288,Super Kings,3,0,0,0,0,0,0,0,0
16898163,Drsuhas Dhekane,3267290,Swaggers,4,0,0,0,0,0,0,0,0
16898156,Aniket Wadkar,3267290,Swaggers,4,0,0,0,0,0,0,0,0
10765262,Pratik Zagade,3267290,Swaggers,4,0,0,0,0,0,0,0,0
14298782,Manoj Wagh,3267290,Swaggers,4,0,0,0,0,0,0,0,0
10745523,Kishor Wagh,3267290,Swaggers,4,0,0,0,0,0,0,0,0
4962614,Siva Kohler,3267290,Swaggers,4,0,0,0,0,0,0,0,0
1669464,Abhishek Satam,3267293,Unicorns,5,0,0,0,0,0,0,0,0
16898173,Arham,3267293,Unicorns,5,0,0,0,0,0,0,0,0
16890310,Pritesh Sail,3267293,Unicorns,5,0,0,0,0,0,0,0,0
16889668,Digesh Panchal,3267282,Pirates,6,0,0,0,0,0,0,0,0
16889685,Rohan Akhade,3267288,Super Kings,6,0,0,0,0,0,0,0,0
3604165,Aniruddha Kudal,3267282,Pirates,6,0,0,0,0,0,0,0,0
10765288,Dilip Achari,3267288,Super Kings,6,0,0,0,0,0,0,0,0
10814344,Dinesh,3267288,Super Kings,6,0,0,0,0,0,0,0,0
16917863,Raju Dhale,3267282,Pirates,6,0,0,0,0,0,0,0,0
10765317,Suhas Agawane,3267282,Pirates,6,0,0,0,0,0,0,0,0
16888722,Amar Toshniwal,3267285,Shouting Eagles,7,0,0,0,0,0,0,0,0
10244981,Kaushlendra Singh,3267285,Shouting Eagles,7,0,0,0,0,0,0,0,0
10814023,Ayush M,3267285,Shouting Eagles,7,0,0,0,0,0,0,0,0
14298775,Non Striker,3267282,Pirates,14,0,0,0,0,0,0,0,0
