player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
1494410,Abhishek Upare,5310051,Yoddha,6,6,7,62,3,5.61,8.86,2,8.29,58,Right-arm Leg Break,10.2,49
10765294,Atharva M,5312082,Power Hitters,6,6,6,72,3,6.50,12.00,0,13,78,Right-arm fast,12.0,47
4867029,Kishore Soni,5312103,Mighty Bulls,7,7,6,48,2,12.62,8.00,0,16.83,101,Right-arm fast,8.0,30
10765311,Rohit Akhade,5312103,Mighty Bulls,7,7,6,54,2,12.78,9.00,0,19.17,115,Right-arm medium,9.0,33
14299007,Abhay Patil,5310051,Yoddha,6,6,5,60,2,4.60,12.00,2,9.2,46,Right-arm fast,10.0,44
234634,Shubham Chougule,5312082,Power Hitters,6,6,5,72,2,6.33,14.40,1,15.2,76,Right-arm fast,12.0,50
822917,Lavin Raheja,5312103,Mighty Bulls,7,7,5,84,2,7.64,16.80,0,21.4,107,Right-arm medium,14.0,54
234632,Krushna Malpani,5312103,Mighty Bulls,7,7,4,84,2,6.43,21.00,2,22.5,90,Right-arm medium,14.0,53
19794211,Ballal Sanket,5312021,Stormbreakers,5,5,4,55,2,7.53,13.75,2,17.25,69,Right-arm fast,9.1,31
10765317,Suhas Agawane,5312021,Stormbreakers,5,5,4,60,1,9.50,15.00,1,23.75,95,Right-arm medium,10.0,38
24517164,Hemant Chaudhari,5312103,Mighty Bulls,7,7,3,42,1,6.14,14.00,0,14.33,43,Right-arm medium,7.0,22
16917863,Raju Dhale,5310051,Yoddha,6,5,3,28,1,11.14,9.33,0,17.33,52,Right-arm fast,4.4,17
16889668,Digesh Panchal,5312103,Mighty Bulls,7,4,3,24,1,13.75,8.00,0,18.33,55,Right-arm medium,4.0,12
16898163,Drsuhas Dhekane,5312108,Fiercey Tigers,4,4,3,24,2,14.75,8.00,0,19.67,59,Right-arm Leg Break,4.0,9
17653956,Arham Lunawat,5312082,Power Hitters,6,6,2,36,1,5.67,18.00,0,17,34,Right-arm medium,6.0,23
20206025,Yogesh Angulwar Amdocs,5310051,Yoddha,6,6,2,42,1,6.43,21.00,0,22.5,45,Right-arm medium,7.0,28
10745512,Onkar,5312082,Power Hitters,6,6,2,48,1,7.12,24.00,0,28.5,57,Right-arm medium,8.0,32
22282685,Prathamesh Upare,5310051,Yoddha,6,5,2,36,1,8.33,18.00,0,25,50,Right-arm fast,6.0,27
14298878,Abhishek Achari,5312103,Mighty Bulls,6,6,2,36,2,8.67,18.00,0,26,52,Right-arm medium,6.0,20
14019875,Ashish Naik,5312098,Phoenix Fury,4,4,2,39,1,9.23,19.50,0,30,60,Right-arm Leg Break,6.3,20
4962614,Siva Kohler,5312098,Phoenix Fury,4,4,2,36,1,11.00,18.00,0,33,66,Right-arm medium,6.0,20
10765268,Akshay Upare,5312082,Power Hitters,6,5,2,30,1,13.00,15.00,0,32.5,65,Right-arm medium,5.0,16
16845639,Vedanta Saurabh Mantri,5312082,Power Hitters,6,6,2,36,1,13.00,18.00,0,39,78,Right-arm fast,6.0,17
10619512,Tanishq Wagh,5310051,Yoddha,6,3,2,24,2,14.00,12.00,0,28,56,Right-arm medium,4.0,14
10765292,Ashish Makwana,5312098,Phoenix Fury,4,2,2,12,1,18.00,6.00,0,18,36,Right-arm fast,2.0,5
16898071,Shripad,5312021,Stormbreakers,5,3,2,18,1,18.67,9.00,0,28,56,Right-arm Off Break,3.0,6
