player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
822917,Lavin Raheja,6613946,TOP GUNS,5,5,7,54,3,6.33,7.71,0,8.14,57,Right-arm medium,9.0,35
14298782,Manoj Wagh,6613942,TEAM SHOOTERS,7,7,6,42,2,8.86,7.00,0,10.33,62,Right-arm medium,7.0,29
10745523,Kishor Wagh,6613936,GULLY BOYS,6,6,6,70,2,9.94,11.67,0,19.33,116,Right-arm medium,11.4,40
19794211,Ballal Sanket,6613936,GULLY BOYS,6,6,5,66,2,3.82,13.20,3,8.4,42,Right-arm fast,11.0,50
234632,Krushna Malpani,6613939,MAVERICKS,6,6,5,72,3,6.33,14.40,0,15.2,76,Right-arm medium,12.0,41
10765294,Atharva M,6613942,TEAM SHOOTERS,7,7,4,84,2,4.07,21.00,1,14.25,57,Right-arm fast,14.0,64
14299007,Abhay Patil,6613939,MAVERICKS,6,6,4,70,2,7.54,17.50,0,22,88,Right-arm fast,11.4,39
16985185,Shree,6613938,JOKERS,4,4,4,45,1,7.60,11.25,0,14.25,57,Right-arm fast,7.3,26
4962614,Siva Kohler,6613939,MAVERICKS,6,6,4,42,2,8.57,10.50,2,15,60,Right-arm medium,7.0,28
10765311,Rohit Akhade,6613946,TOP GUNS,5,5,4,42,2,10.29,10.50,0,18,72,Right-arm medium,7.0,26
10765297,Jagdeep,6613936,GULLY BOYS,6,6,4,42,2,11.57,10.50,1,20.25,81,Right-arm fast,7.0,23
6608477,Abhishek Axhari,6613939,MAVERICKS,6,6,4,42,1,12.00,10.50,1,21,84,Right-arm fast,7.0,21
29266041,Anvit Bhosale,6613939,MAVERICKS,6,5,4,30,2,13.00,7.50,0,16.25,65,Right-arm medium,5.0,14
16898163,Drsuhas Dhekane,6613936,GULLY BOYS,6,6,4,36,2,14.50,9.00,0,21.75,87,Right-arm Leg Break,6.0,16
19892409,Jounty,6613942,TEAM SHOOTERS,7,7,3,78,1,7.38,26.00,0,32,96,Right-arm fast,13.0,44
10765317,Suhas Agawane,6613941,POC6,4,4,3,38,2,9.00,12.67,0,19,57,Right-arm medium,6.2,21
1883604,Raman Toshniwal,6613936,GULLY BOYS,6,6,3,36,1,9.83,12.00,0,19.67,59,Right-arm fast,6.0,19
